step,top1_miss,ema_miss,top1_acc,flip_penalty,median_rel_margin,flip_severity
260,0.645508,0.515116,0.354492,0.498047,1.195312,2.250000
261,0.466309,0.510235,0.533691,0.316406,1.039062,1.000000
262,0.509766,0.510188,0.490234,0.347656,1.132812,1.085938
263,0.493652,0.508535,0.506348,0.341797,1.007812,1.039062
264,0.522949,0.509976,0.477051,0.345703,0.925781,1.085938
265,0.513184,0.510297,0.486816,0.328125,1.085938,1.085938
266,0.470215,0.506289,0.529785,0.349609,0.972656,1.085938
267,0.494629,0.505123,0.505371,0.330078,1.062500,1.109375
268,0.555176,0.510128,0.444824,0.355469,1.281250,1.179688
269,0.500977,0.509213,0.499023,0.326172,1.164062,0.957031
270,0.451660,0.503458,0.548340,0.292969,1.085938,0.828125
271,0.522461,0.505358,0.477539,0.375000,1.000000,1.210938
272,0.497070,0.504529,0.502930,0.367188,0.867188,1.179688
273,0.456543,0.499731,0.543457,0.357422,0.792969,1.046875
274,0.477539,0.497511,0.522461,0.332031,0.929688,1.046875
275,0.484863,0.496247,0.515137,0.306641,0.980469,1.062500
276,0.476562,0.494278,0.523438,0.326172,1.000000,0.945312
277,0.418945,0.486745,0.581055,0.249023,0.960938,0.769531
278,0.483887,0.486459,0.516113,0.326172,0.992188,1.070312
279,0.449219,0.482735,0.550781,0.300781,1.062500,0.875000
280,0.505371,0.484999,0.494629,0.332031,1.140625,1.000000
281,0.513184,0.487817,0.486816,0.328125,1.093750,1.023438
282,0.534180,0.492453,0.465820,0.335938,1.203125,1.203125
283,0.428223,0.486030,0.571777,0.275391,1.140625,0.792969
284,0.530762,0.490503,0.469238,0.339844,1.195312,1.015625
285,0.501953,0.491648,0.498047,0.308594,1.210938,0.921875
286,0.493652,0.491849,0.506348,0.349609,0.910156,1.164062
287,0.482422,0.490906,0.517578,0.335938,1.031250,1.039062
288,0.486816,0.490497,0.513184,0.324219,0.980469,0.910156
289,0.494141,0.490862,0.505859,0.330078,1.062500,1.023438
290,0.506836,0.492459,0.493164,0.375000,0.875000,1.226562
291,0.508789,0.494092,0.491211,0.408203,0.871094,1.203125
292,0.554199,0.500103,0.445801,0.439453,0.847656,1.343750
293,0.520508,0.502143,0.479492,0.417969,0.863281,1.335938
294,0.505859,0.502515,0.494141,0.394531,0.789062,1.156250
295,0.510742,0.503338,0.489258,0.390625,0.851562,1.164062
296,0.500488,0.503053,0.499512,0.371094,0.949219,1.101562
297,0.523438,0.505091,0.476562,0.359375,1.093750,1.125000
298,0.506836,0.505266,0.493164,0.375000,0.972656,1.117188
299,0.541016,0.508841,0.458984,0.408203,0.878906,1.148438
300,0.538086,0.511765,0.461914,0.400391,1.000000,1.164062
301,0.541504,0.514739,0.458496,0.396484,1.078125,1.312500
302,0.527344,0.515999,0.472656,0.371094,1.031250,1.218750
303,0.545410,0.518941,0.454590,0.410156,0.929688,1.234375
304,0.558594,0.522906,0.441406,0.410156,0.960938,1.218750
305,0.501465,0.520762,0.498535,0.341797,1.078125,0.984375
306,0.504395,0.519125,0.495605,0.361328,1.031250,1.203125
307,0.475098,0.514722,0.524902,0.312500,0.988281,1.015625
308,0.465820,0.509832,0.534180,0.330078,0.867188,1.078125
309,0.481445,0.506993,0.518555,0.322266,1.101562,1.062500
310,0.499512,0.506245,0.500488,0.326172,1.125000,0.980469
311,0.544434,0.510064,0.455566,0.408203,1.039062,1.335938
312,0.482910,0.507349,0.517090,0.300781,1.242188,0.992188
313,0.506836,0.507297,0.493164,0.312500,1.250000,0.925781
314,0.502930,0.506861,0.497070,0.304688,1.000000,0.980469
315,0.486816,0.504856,0.513184,0.332031,0.929688,1.062500
316,0.521973,0.506568,0.478027,0.390625,0.855469,1.093750
317,0.507324,0.506644,0.492676,0.322266,1.109375,0.980469
318,0.497070,0.505686,0.502930,0.337891,1.343750,1.156250
319,0.527832,0.507901,0.472168,0.367188,1.171875,1.312500
320,0.451172,0.502228,0.548828,0.316406,0.960938,0.960938
321,0.471680,0.499173,0.528320,0.302734,1.070312,0.855469
322,0.496094,0.498865,0.503906,0.322266,1.039062,0.996094
323,0.475098,0.496488,0.524902,0.335938,1.000000,1.109375
324,0.480957,0.494935,0.519043,0.332031,1.000000,0.960938
325,0.512207,0.496662,0.487793,0.328125,1.187500,0.925781
326,0.493652,0.496361,0.506348,0.310547,1.109375,0.929688
327,0.486816,0.495407,0.513184,0.332031,0.968750,1.015625
328,0.476074,0.493474,0.523926,0.330078,0.972656,1.015625
329,0.455566,0.489683,0.544434,0.314453,0.964844,1.031250
330,0.532715,0.493986,0.467285,0.361328,1.039062,1.226562
331,0.436523,0.488240,0.563477,0.300781,0.929688,0.812500
332,0.446777,0.484094,0.553223,0.298828,0.929688,0.820312
333,0.465332,0.482217,0.534668,0.328125,1.054688,1.046875
334,0.453125,0.479308,0.546875,0.287109,1.140625,0.808594
335,0.522461,0.483623,0.477539,0.359375,1.039062,1.257812
336,0.427734,0.478035,0.572266,0.265625,1.148438,0.671875
337,0.487793,0.479010,0.512207,0.337891,0.964844,1.046875
338,0.502441,0.481354,0.497559,0.326172,1.164062,0.925781
339,0.473145,0.480533,0.526855,0.289062,1.195312,0.859375
340,0.491699,0.481649,0.508301,0.335938,1.000000,1.031250
341,0.491211,0.482605,0.508789,0.339844,1.000000,1.070312
342,0.460449,0.480390,0.539551,0.322266,0.914062,0.917969
343,0.453125,0.477663,0.546875,0.300781,0.964844,0.859375
